iter	RMSE
0	101.8025995
1	101.1969443
2	100.6632227
3	100.1635796
4	99.63610459
5	99.1970363
6	98.73937441
7	98.361075
8	97.9842392
9	97.60342939
10	97.20177648
11	96.8151873
12	96.49821131
13	96.20741339
14	95.90899371
15	95.56853717
16	95.3271485
17	95.06568679
18	94.82445754
19	94.56311115
20	94.36446001
21	94.21577106
22	94.03071348
23	93.85563451
24	93.68008593
25	93.53139864
26	93.35383615
27	93.15257933
28	92.98765675
29	92.81083399
30	92.68977049
31	92.51274081
32	92.33908758
33	92.21871219
34	92.10767801
35	91.94963277
36	91.76714004
37	91.66697025
38	91.5469685
39	91.44216701
40	91.32747475
41	91.21324777
42	91.11732743
43	91.01395231
44	90.86545541
45	90.75021817
46	90.62338385
47	90.5515036
48	90.42261846
49	90.31776052
50	90.21009266
51	90.10823501
52	90.02020725
53	89.94532753
54	89.84228544
55	89.76790186
56	89.65645034
57	89.56398833
58	89.48925055
59	89.39253515
60	89.30766821
61	89.22182209
62	89.14002815
63	89.08225993
64	89.00693619
65	88.93972388
66	88.88788287
67	88.80822192
68	88.73339328
69	88.65614943
70	88.58261274
71	88.49019442
72	88.39346985
73	88.33905398
74	88.27793504
75	88.20358072
76	88.15644808
77	88.0774028
78	88.0213828
79	87.97395651
80	87.89999143
81	87.8368082
82	87.74339861
83	87.65386047
84	87.58739493
85	87.51945829
86	87.45005916
87	87.39887472
88	87.35034853
89	87.2657278
90	87.21551741
91	87.14464956
92	87.08482904
93	87.02418506
94	86.93998841
95	86.86630438
96	86.79105993
97	86.75011127
98	86.68938777
99	86.63566137
100	86.5664747
101	86.5385076
102	86.49305627
103	86.40874758
104	86.37937326
105	86.3143312
106	86.26943851
107	86.21698559
108	86.15692559
109	86.07550674
110	86.03163426
111	85.97790629
112	85.91543615
113	85.87633579
114	85.83557054
115	85.75014326
116	85.72830343
117	85.68719257
118	85.63214622
119	85.58555573
120	85.52077959
121	85.47176502
122	85.43776155
123	85.36653416
124	85.33322394
125	85.27625491
126	85.20873468
127	85.13799264
128	85.10721473
129	85.0692874
130	85.00785336
131	84.96522064
132	84.91103539
133	84.84289841
134	84.7967511
135	84.72312708
136	84.68132904
137	84.63390315
138	84.56339086
139	84.52518619
140	84.49381191
141	84.43357943
142	84.40643007
143	84.3622227
144	84.31242965
145	84.25345064
146	84.21626412
147	84.17183432
148	84.12264739
149	84.09908871
150	84.05378244
151	83.98750781
152	83.92822164
153	83.86530105
154	83.80673486
155	83.76910366
156	83.73834597
157	83.70141908
158	83.63768917
159	83.58014548
160	83.53038693
161	83.50056926
162	83.47852079
163	83.44560904
164	83.40893669
165	83.35908949
166	83.31316132
167	83.2807322
168	83.25699353
169	83.21942922
170	83.16860138
171	83.11885741
172	83.05065162
173	82.98237832
174	82.95266719
175	82.92360083
176	82.87503114
177	82.83033315
178	82.7963209
179	82.7243614
180	82.69653169
181	82.65945334
182	82.63112508
183	82.58950294
184	82.55425694
185	82.53582406
186	82.49099441
187	82.46478784
188	82.43538171
189	82.40777016
190	82.38005271
191	82.36165622
192	82.34023842
193	82.30365487
194	82.28703231
195	82.24853106
196	82.21359097
197	82.16809003
198	82.12865075
199	82.11474258
200	82.07095398
201	82.04513113
202	81.99791026
203	81.96808744
204	81.93919678
205	81.92055309
206	81.88653887
207	81.8631891
208	81.83782306
209	81.79291573
210	81.75704348
211	81.73194423
212	81.68228538
213	81.65001754
214	81.62640127
215	81.5902733
216	81.55376762
217	81.47786922
218	81.45068112
219	81.42551327
220	81.3968409
221	81.37109981
222	81.30936914
223	81.28398795
224	81.25623953
225	81.22528101
226	81.16595637
227	81.1564105
228	81.1414095
229	81.12137859
230	81.094024
231	81.07046482
232	81.02910241
233	81.00973317
234	80.97077949
235	80.92517942
236	80.88953109
237	80.84540072
238	80.8319278
239	80.79258937
240	80.7683474
241	80.72999047
242	80.71608026
243	80.68300258
244	80.66793961
245	80.64016884
246	80.58174636
247	80.52866194
248	80.48743844
249	80.40954472
250	80.39688631
251	80.37630074
252	80.33714704
253	80.28715856
254	80.2420809
255	80.21746915
256	80.18853666
257	80.14331112
258	80.0793801
259	80.06423298
260	80.00892388
261	79.97136107
262	79.95456826
263	79.92035977
264	79.89118147
265	79.86695395
266	79.82016405
267	79.76869052
268	79.73162522
269	79.7051546
270	79.64365653
271	79.62467605
272	79.59728134
273	79.57967188
274	79.55624235
275	79.54442869
276	79.52525395
277	79.48012412
278	79.45367854
279	79.42517449
280	79.39573268
281	79.34104661
282	79.32612922
283	79.29939521
284	79.2525251
285	79.18953428
286	79.16746803
287	79.15207491
288	79.13788169
289	79.1373014
290	79.09831016
291	79.06806281
292	79.03993836
293	78.9789802
294	78.90966215
295	78.89991151
296	78.87880006
297	78.86176187
298	78.83571117
299	78.79291512
300	78.77735064
301	78.76036013
302	78.74937918
303	78.69415384
304	78.6864711
305	78.67342402
306	78.62630204
307	78.61245847
308	78.59411858
309	78.57109855
310	78.54896771
311	78.53840586
312	78.52221481
313	78.50513478
314	78.45928065
315	78.42550931
316	78.39609005
317	78.34446059
318	78.33045306
319	78.31830659
320	78.29995414
321	78.27668526
322	78.2322872
323	78.21882798
324	78.2021074
325	78.18104365
326	78.17056749
327	78.15653543
328	78.14668683
329	78.08898409
330	78.0712894
331	78.03735363
332	77.98387686
333	77.97415574
334	77.94082523
335	77.92453877
336	77.88791742
337	77.87884406
338	77.86162882
339	77.84263902
340	77.79187121
341	77.73242137
342	77.68937589
343	77.66179914
344	77.64969206
345	77.59587043
346	77.58519517
347	77.56335439
348	77.54454866
